Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
28,-0.0540776289999485,1.605568289756775,77.92675018310547,-0.2549985016604695,-0.43488301952431213,-86.68160439889832,-0.1097031,6.0970407,-1.3430936,9.880877,-8.774608,-6.148051,4.462142,-4.91922,-6.680388,7.058804,-12.065383,6.913853,-2.5491922,1.375771,5.978276,-2.8673651,12.004276,-41.8652,66.33159,0.29291663,-0.031712648,4.790803,3.9697773,-9.073576,22.759726,61.300014,-9.860396,0.06932665,-8.05253
29,-0.05322650447487831,1.6009174585342407,77.92570495605469,-0.24953500852126906,-0.4427938946734281,-86.68876317734235,-0.10050949,6.0895505,-1.3329107,9.897417,-8.789231,-6.120853,4.477348,-4.9255247,-6.679871,7.0585647,-12.073167,6.9305067,-2.5519729,1.3715916,5.9763823,-2.866433,12.004271,-41.861385,66.325966,0.2763265,-0.020934759,4.7851377,3.9692194,-9.074281,22.758896,61.307796,-9.750124,0.008830407,-8.04168
30,-0.0497857928276062,1.5873914957046509,77.91753387451172,-0.2455781114132204,-0.4597115231743876,-86.69126752070152,-0.08436345,6.083145,-1.3249762,9.917371,-8.804956,-6.0900145,4.503879,-4.9308753,-6.6929126,7.0582294,-12.084092,6.9517207,-2.56036,1.3610404,5.983253,-2.8716042,12.004928,-41.867123,66.33337,0.26955444,-0.006047313,4.796868,3.9553764,-9.078006,22.77883,61.337418,-9.566821,-0.092967086,-8.029591
31,-0.04911256954073906,1.5799460411071777,77.91548156738281,-0.24301697980454637,-0.4740195186026183,-86.69067582990671,-0.07178347,6.078444,-1.3204153,9.93624,-8.818786,-6.0639596,4.527338,-4.9349504,-6.7104564,7.058344,-12.095252,6.9706373,-2.5755696,1.351438,5.9867377,-2.8752072,12.007056,-41.883,66.34454,0.26300582,0.00418136,4.8200445,3.9507208,-9.085326,22.81322,61.349136,-9.415122,-0.16917552,-8.026553
32,-0.052742380648851395,1.5752556324005127,77.9144058227539,-0.24198028316668782,-0.48092691684379685,-86.68876587039217,-0.06615197,6.0767236,-1.320034,9.951135,-8.82944,-6.051401,4.54171,-4.9370885,-6.7234135,7.0580053,-12.10363,6.9802628,-2.5814204,1.3458887,5.9865375,-2.8790386,12.007737,-41.88571,66.35203,0.27799922,0.0086890375,4.8377,3.949205,-9.0872,22.81926,61.3536,-9.378299,-0.19281168,-8.029844
33,-0.05583534389734268,1.5858182907104492,77.91693115234375,-0.24189806447086393,-0.47599526792694835,-86.68575252652792,-0.06623334,6.079308,-1.325325,9.948654,-8.829179,-6.0596423,4.5405593,-4.936624,-6.7292924,7.0589514,-12.108872,6.9755816,-2.582281,1.3465941,5.974495,-2.8794394,12.008519,-41.879665,66.35603,0.309623,0.0044591273,4.853857,3.9497476,-9.089642,22.816593,61.352383,-9.517947,-0.12686633,-8.05425
34,-0.06112216040492058,1.5785223245620728,77.91463470458984,-0.24324006399233786,-0.4631197519711405,-86.68050432525486,-0.071466185,6.084956,-1.3356766,9.9364,-8.822039,-6.0823555,4.529836,-4.934123,-6.733168,7.059069,-12.111107,6.9613957,-2.5816162,1.3532351,5.959433,-2.8734543,12.009044,-41.857044,66.35073,0.3696098,-0.0057044104,4.8721166,3.9612725,-9.091449,22.795597,61.32804,-9.797005,0.00658462,-8.091111
35,-0.06087625026702881,1.5706475973129272,77.91482543945312,-0.24574367246498446,-0.4501714094865294,-86.67389886843068,-0.075409554,6.0914526,-1.3468926,9.920499,-8.812981,-6.1077113,4.5188727,-4.9311194,-6.7362666,7.0596137,-12.113623,6.9456196,-2.5775628,1.3622735,5.954457,-2.8736813,12.009474,-41.813435,66.34161,0.44794098,-0.018325886,4.879673,3.9665246,-9.094122,22.747755,61.303562,-10.07787,0.13220952,-8.11273
36,-0.06015462428331375,1.5652848482131958,77.9147720336914,-0.24695027730852787,-0.44450423490626106,-86.66617118841087,-0.07398256,6.0970764,-1.355421,9.9118185,-8.809657,-6.123771,4.5184946,-4.9280543,-6.7403913,7.0573306,-12.116894,6.936052,-2.5763726,1.3648045,5.9435134,-2.8769977,12.009585,-41.80979,66.34543,0.47259703,-0.027235165,4.8847976,3.9657245,-9.094603,22.743244,61.30461,-10.165216,0.18318318,-8.117066
37,-0.058755796402692795,1.5618177652359009,77.92086791992188,-0.25010539117576397,-0.44934831891139565,-86.65348365357718,-0.06566331,6.1012225,-1.3609588,9.913807,-8.813662,-6.1250386,4.528683,-4.9255624,-6.7473946,7.060048,-12.124892,6.9359508,-2.583014,1.3683331,5.9448853,-2.8840933,12.0101385,-41.813488,66.34807,0.45964497,-0.03642012,4.871642,3.9680912,-9.095727,22.742111,61.30055,-10.018043,0.1329691,-8.073887
